Employer.Name,CBA.File,Location,Union,Expiration.Date,NAICS.,X.Wrkrs,Type
"AGC, MO",1693,MO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 513",2009-05-01,NA,NA,PRIVATE
"AGC, MO",1694,MO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 513",2014-04-30,23731,3000,PRIVATE
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1005,MO,LIUNA DC & 4 LOCALS,2010-04-30,23731,3000,PRIVATE
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1006,MO,LABORERS  (LIUNA) LOCAL UNION 319,2006-04-30,NA,NA,PRIVATE
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1007,MO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 101",2010-04-30,23731,3200,PRIVATE
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1010,MO,TEAMSTERS (IBT) JOINT COUNCIL 13,2010-04-30,23731,3000,PRIVATE
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1011,MO,TEAMSTERS (IBT) JOINT COUNCIL 13,2006-04-30,NA,NA,PRIVATE
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1018,MO,TEAMSTERS (IBT) JOINT COUNCIL 56,2010-04-30,23731,3000,PRIVATE
"AGC, MO (EXCLUDING. BLDG CONSTRUCTION)",1019,MO,TEAMSTERS (IBT) JOINT COUNCIL 56,2006-04-30,NA,NA,PRIVATE
"AGC, MO ST. LOUIS",1168,MO ST. LOUIS,LABORERS  (LIUNA) LOCAL UNION 110,2009-03-01,NA,NA,PRIVATE
"AGC, MO ST. LOUIS",1360,MO ST. LOUIS,UBC ,2008-05-05,NA,NA,PRIVATE
"AGC, NJ & C.C.L.E, NEW JERSEY",1040,NJ,BSOIW VARIOUS LOCALS,2008-06-30,23622,2000,PRIVATE
"AGC, NJ CONSTRUCTION CONTRACTORS",1470,NJ,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 825",2008-03-31,23622,1000,PRIVATE
"AGC, NM BUILDING BRANCH",1594,NM,UBC NM/DC,2013-05-31,23622,2000,PRIVATE
"AGC, NM BUILDING BRANCH",1595,NM,CJA NM DC,2010-05-31,23622,2000,PRIVATE
"AGC, NM BUILDING BRANCH",1596,NM,CJA -,NA,23622,2000,PRIVATE
"AGC, NM BUILDING BRANCH",1597,NM,CJA -,2003-10-01,23622,2000,PRIVATE
"AGC, NM BUILDING BRANCH",1598,NM,LIUNA ,2003-10-01,NA,NA,PRIVATE
"AGC, NM BUILDING BRANCH",1599,NM,LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16,2013-05-31,23622,3000,PRIVATE
"AGC, NM BUILDING BRANCH",1600,NM,LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16,2010-05-31,23622,3000,PRIVATE
"AGC, NM BUILDING BRANCH",1601,NM,LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16,2012-05-31,23622,3000,PRIVATE
"AGC, NM BUILDING BRANCH",1602,NM,LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16,2012-05-31,23622,3000,PRIVATE
"AGC, NM BUILDING BRANCH",1603,NM,LABORERS  (LIUNA) LOCAL UNION 16 LOCAL NO.16,2007-05-31,23622,2000,PRIVATE
"AGC, NV",108,NV,LABORERS  (LIUNA) LOCAL UNION 872,2010-06-30,NA,NA,PRIVATE
"AGC, NV",875,NV,CJA AFFILIATED LOCALS,2007-06-30,23622,5400,PRIVATE
"AGC, NV - LAS VEGAS - SOUTHERN NV",1614,NV,LABORERS  (LIUNA) LOCAL UNION 872,2010-06-30,23622,2000,PRIVATE
"AGC, NV - NORTHERN CHAPTER",1681,NV,CARPENTERS IND (CJA) LOCAL UNION 1789/CARPENTERS IND (CJA) LOCAL UNION 2035/CARPENTERS IND (CJA) LOCAL UNION 34/CARPENTERS IND (CJA) LOCAL UNION 971,2008-06-30,23622,2000,PRIVATE
"AGC, NV - SOUTHERN NEVADA",1641,NV,TEAMSTERS (IBT) LOCAL UNION 631,2007-06-30,23622,1200,PRIVATE
"AGC, NY",1768,NY,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 158",2015-03-31,23731,1000,PRIVATE
"AGC, NY",1769,NY,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 158",2019-03-31,23731,1000,PRIVATE
"AGC, NY - CENTRAL NY REGION",1239,NY,LIUNA VARIOUS LOCALS,2007-03-31,23731,1000,PRIVATE
"AGC, NY - CIC, NY",1744,NY,IUOE VARIOUS LOCALS,2008-03-31,23731,1000,PRIVATE
"AGC, NY - STATE CHAPTER",1642,NY,IUOE -,2008-03-31,23731,1000,PRIVATE
"AGC, NY - WESTERN NY REGION",1225,NY,LIUNA VARIOUS LOCALS,2008-01-31,23731,1000,PRIVATE
"AGC, NY - WESTERN NY STATE CHAPTER",970,NY,IUOE VARIOUS LOCALS,2009-01-31,23731,1000,PRIVATE
"AGC, NY - WESTERN NY STATE CHAPTER",971,NY,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 17",2009-03-31,NA,NA,PRIVATE
"AGC, NY AGC, ROCHESTER REGION NY STATE HWY-HVY",1030,NY,LIUNA -,2007-03-31,23731,1000,PRIVATE
"AGC, NY ALBANY REGION NY STATE CHAPTER",973,NY,IUOE VARIOUS LOCALS,2008-03-31,23731,1000,PRIVATE
"AGC, NY ALBANY REGION NY STATE CHAPTER",1076,NY,TEAMSTERS (IBT) LOCAL UNION 294,2008-03-31,NA,NA,PRIVATE
"AGC, NY ALBANY REGION NY STATE CHAPTER",1725,NY,LIUNA VARIOUS LOCALS,2008-03-31,23731,1000,PRIVATE
"AGC, NY CENTRAL NY REG & NY STATE CHAPTER",967,NY,IUOE VARIOUS LOCALS,2005-03-31,23731,1000,PRIVATE
"AGC, NY NEW STATE CHAPTER",1521,NY,IUOE -,2008-03-31,23731,1000,PRIVATE
"AGC, NY STATE CHAPTER ( LABOR RELATIONS DIVISION) ROCHESTER REGION",921,NY,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 832 ABC",2008-03-31,NA,NA,PRIVATE
"AGC, NY UTILITY & TRANS. CONSTR. ASSOCIATION",1009,MO,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 513",2009-04-30,23731,3000,PRIVATE
"AGC, NY WESTERN NY REG. NY STATE CHAPTER",1479,NY,CJA VARIOUS LOCALS,2007-03-31,23731,1000,PRIVATE
"AGC, NY- AGC & CONSTR. INDUSTRY COUNCIL",990,NY,LIUNA VARIOUS LOCALS,2008-04-30,23731,1000,PRIVATE
"AGC, OH - WEST CENTRAL OHIO DIVISION",1207,OH,CARPENTERS IND (CJA) LOCAL UNION 265,2007-05-31,23622,1000,PRIVATE
"AGC, OH & SOUTH CENTRAL OHIO",1419,OH,CJA -,2006-05-31,23622,1800,PRIVATE
"AGC, OH BUILDING",1615,OH,IUOE -,2007-04-30,23622,1300,PRIVATE
"AGC, OH CENTRAL",1572,OH,LABORERS  (LIUNA) LOCAL UNION 423,2008-05-31,23622,1300,PRIVATE
"AGC, OH CENTRAL",1573,OH,LABORERS  (LIUNA) LOCAL UNION 423,NA,23622,1300,PRIVATE
"AGC, OH CINCINNATI DIVISION",1660,OH,CJA -,2007-05-31,23622,1300,PRIVATE
"AGC, OH NORTHWEST",1454,OH,LABORERS  (LIUNA) LOCAL UNION 500,2007-06-30,23622,1000,PRIVATE
"AGC, OR COLUMBIA CHAPTER",1145,"OR , WA",CJA -,2006-05-31,23622,1300,PRIVATE
"AGC, OR COLUMBIA CHAPTER",1166,OR,IBT -,2007-05-31,23622,1300,PRIVATE
"AGC, OREGON COLUMBIA CHAPTER",1144,OR,CJA RC PACIFIC NORTHWEST,2016-05-31,NA,NA,PRIVATE
"AGC, OREGON COLUMBIA CHAPTER",1158,"OR, WA",IUOE -,2007-05-31,23622,1300,PRIVATE
"AGC, OREGON COLUMBIA CHAPTER (HVY/HWY BLDG)",1143,OR EAST,LIUNA -,2007-05-31,23622,1300,PRIVATE
"AGC, RI",1356,RI,CJA -,2009-06-07,23622,1000,PRIVATE
"AGC, SAN DIEGO",1522,MO,LABORERS  (LIUNA) LOCAL UNION 89,2016-06-30,NA,NA,PRIVATE
"AGC, ST LOUIS",1167,MO,LABORERS  (LIUNA) LOCAL UNION 110/LABORERS  (LIUNA) LOCAL UNION 42,2009-03-01,23622,1300,PRIVATE
"AGC, ST LOUIS",1379,MO,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 396,2007-08-01,NA,NA,PRIVATE
"AGC, ST LOUIS & VICINITY",1359,MO,LIUNA -,2008-05-05,23622,3500,PRIVATE
"AGC, ST LOUIS ERECTORS & BUILDING",1380,MO,IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 396,2007-08-01,23622,1200,PRIVATE
"AGC, TX HOUSTON CHAPTER CONSTRN EMPL ASN OF TX",1421,TX,CJA -,2006-03-31,23622,1000,PRIVATE
"AGC, TX HOUSTON CHAPTER CONSTRN EMPL ASN OF TX",1542,TX,BSOIW -,2006-03-31,23622,1000,PRIVATE
"AGC, UTILITY & TRANS. CONSTRC. ASN. & AGC, NY",1628,NJ,LABORERS  (LIUNA) LOCAL UNION 172/LABORERS  (LIUNA) LOCAL UNION 472,2007-02-28,NA,NA,PRIVATE
"AGC, WA",1156,WI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139",2014-05-31,23731,2000,PRIVATE
"AGC, WA",1449,WA,LIUNA -,2015-05-31,NA,NA,PRIVATE
"AGC, WA",1450,WA,LIUNA -,NA,NA,NA,PRIVATE
"AGC, WA",1451,WA,LABORERS  (LIUNA) DISTRICT COUNCIL 0 WASHINGTON & NORTHERN IDAHO,2018-05-31,23731,6000,PRIVATE
"AGC, WA",1845,WA,OPCM -,2015-05-31,NA,NA,PRIVATE
"AGC, WA (HVY-HWY)",1154,WA,CJA RC- PACIFIC NW,2012-05-31,23731,6500,PRIVATE
"AGC, WA (HVY-HWY)",1155,WA,CJA ,2007-05-31,NA,NA,PRIVATE
"AGC, WA (HVY-HWY)",1410,WA,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 302",2010-05-31,23731,4000,PRIVATE
"AGC, WA (HVY-HWY)",1411,WA,CARPENTERS IND (CJA) LOCAL UNION 302,2007-05-31,NA,NA,PRIVATE
"AGC, WA SEATTLE & TACOMA CHAPTERS (HVY CONSTRUCTION)",1186,WA,TEAMSTERS (IBT) LOCAL UNION 174/TEAMSTERS (IBT) LOCAL UNION 231/TEAMSTERS (IBT) LOCAL UNION 252/TEAMSTERS (IBT) LOCAL UNION 313/TEAMSTERS (IBT) LOCAL UNION 589,2018-05-31,23731,1000,PRIVATE
"AGC, WA SEATTLE & TACOMA CHAPTERS (HVY CONSTRUCTION)",1187,WA,TEAMSTERS (IBT) LOCAL UNION 174/TEAMSTERS (IBT) LOCAL UNION 231/TEAMSTERS (IBT) LOCAL UNION 252/TEAMSTERS (IBT) LOCAL UNION 313/TEAMSTERS (IBT) LOCAL UNION 589,2007-05-31,NA,NA,PRIVATE
"AGC, WA SEATTLE & TACOMA CHAPTERS (HVY-HWY)",1452,WA,LIUNA ,2007-05-31,NA,NA,PRIVATE
"AGC, WA SEATTLE & TACOMA CHAPTERS (HVY-HWY)",1453,WA,LABORERS  (LIUNA) DISTRICT COUNCIL 0 WASHINGTON & NORTHERN IDAHO,2012-05-31,23731,6000,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER",1697,WA,IOUE 370,2010-05-31,23731,1000,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER",1698,WA,TEAMSTERS (IBT) LOCAL UNION 174/TEAMSTERS (IBT) LOCAL UNION 252/TEAMSTERS (IBT) LOCAL UNION 313/TEAMSTERS (IBT) LOCAL UNION 317/TEAMSTERS (IBT) LOCAL UNION 378/TEAMSTERS (IBT) LOCAL UNION 589,2007-05-31,NA,NA,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER",1706,WA,TEAMSTERS (IBT) LOCAL UNION 690,NA,23731,NA,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER",1707,WA,TEAMSTERS (IBT) LOCAL UNION 690,NA,23731,NA,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER",1708,WA,TEAMSTERS (IBT) LOCAL UNION 174/TEAMSTERS (IBT) LOCAL UNION 231/TEAMSTERS (IBT) LOCAL UNION 252/TEAMSTERS (IBT) LOCAL UNION 313/TEAMSTERS (IBT) LOCAL UNION 589,2012-05-31,23731,3500,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER",1712,WA,LABORERS  (LIUNA) LOCAL UNION 238/LABORERS  (LIUNA) LOCAL UNION 348,2009-05-31,23731,1800,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER",1713,WA,LABORERS  (LIUNA) LOCAL UNION 238/LABORERS  (LIUNA) LOCAL UNION 348,2006-06-01,NA,NA,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER",1714,WA,LABORERS  (LIUNA) DISTRICT COUNCIL 0 WASHINGTON & NORTHERN IDAHO,2012-05-31,23731,1800,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER (HVY-HWY)",1692,WA,CJA PACIFIC NORTHWEST RC,2012-05-31,23731,2400,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER (HVY-HWY)",1690,WA,CJA NW RC,NA,23731,2400,PRIVATE
"AGC, WA, INLAND NORTHWEST CHAPTER (HVY-HWY)",1691,WA,CJA -,2006-05-31,23731,2400,PRIVATE
"AGC, WI",933,WI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139",2017-05-31,23731,2000,PRIVATE
"AGC, WI",934,WI,IUOE ,2008-05-31,NA,NA,PRIVATE
"AGC, WI",935,WI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139",2014-05-31,23731,2000,PRIVATE
"AGC, WI",939,WI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139",2011-05-31,23731,2000,PRIVATE
"AGC, WI",2223,WI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139",2017-05-31,NA,NA,PRIVATE
"AGC, WI - MILW & ALLIED CONSTRUCTION EMPLOYRS (AREA 1)",936,WI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139",2011-05-31,23731,2000,PRIVATE
"AGC, WI - MILW & ALLIED CONSTRUCTION EMPLOYRS (AREA 1)",937,WI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139",2016-05-31,23731,2000,PRIVATE
"AGC, WI - MILW & ALLIED CONSTRUCTION EMPLOYRS (AREA 1)",938,WI,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 139",2006-05-31,NA,NA,PRIVATE
"AGC, WI,",1428,WI,CJA -,2008-05-31,23622,1000,PRIVATE
"AGC, WI, - GREATER MILWAUKEE & ALLIED CONSTRUCTION EMPLOYERS ASSOCIATION",1366,WI,CJA -,2004-05-31,23622,1000,PRIVATE
"AGC,OH",1079,OH,LABORERS 265,2007-05-31,NA,NA,PRIVATE
AGENCE FRANCE-PRESSE,2194,DC,WBNG 32035,2016-12-31,NA,NA,PRIVATE
AI FLINT /GENESEE LLC,1942,MI,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 659,2010-07-01,336111,3163,PRIVATE
AIMBRIDGE EMPLOYEE SERVICE CORP FOR HYATT REGENCY,1131,IL,"ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 399",2020-02-29,NA,9,PRIVATE
AIMBRIDGE EMPLOYEE SERVICE CORP.,2452,FL,UNITE HERE  737,2021-01-24,NA,NA,PRIVATE
"AIR CONDITIONING, REFRIGERATION, HEATING, AND PIPING ASSOCIATION, INC. DBA THE MECHANICAL CONTRACTORS ASSOCIATION",1471,FL,UNITED ASSOCIATION  725,2022-07-15,NA,NA,PRIVATE
"AIRCONDITIONING, REFRIGERATION AND MECHANICAL CONTRACTORS ASSOCIATION",1414,CA NORTHERN,PPF -,2006-08-31,23621,1000,PRIVATE
AIRCRAFT & MISSILES SYSTEM,2083,"MO, ST. LOUIS",MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 837,2004-05-23,323822,1000,PRIVATE
AIRCRAFT & MISSILES SYSTEMS (THE BOEING COMPANY),324,MO,MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 837,2004-05-23,NA,NA,PRIVATE
"AIRO DIE CASTING, INC.",1482,PA,FACTORY WORKERS  1357,2019-05-15,NA,NA,PRIVATE
"AIRPORT CONCESSIONS, LLC DBA VILLAGE PUB AND GRILL",2397,NV,CULINARY WORKERS UNION/BARTENDERS UNION  226/165,2021-05-31,NA,NA,PRIVATE
AIRWAY MECHANIC AND RELATED EMPLOYEE ASSOCIATION,2082,DC,TWU/IAM -,NA,323822,1000,PRIVATE
"AJW TECHNIQUE, INC.",2088,FL,MACHINISTS AFL-CIO (IAM) LODGE 140,2018-01-14,23731,1000,PRIVATE
AK STEEL,2084,"MO, ST. LOUIS",MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 837,2004-05-23,323822,1000,PRIVATE
AK STEEL CORPORATION,194,PA,BUTLER ARMCO INDEPENDENT UNION  -,2006-09-30,NA,NA,PRIVATE
AK STEEL CORPORATION,195,KY,USW -,2005-09-01,23731,3000,PRIVATE
AK STEEL CORPORATION,1415,PA,- -,2006-09-30,23731,3000,PRIVATE
"AKIMA TECHNICAL SOLUTIONS, LLC",2089,MD,MACHINISTS AFL-CIO (IAM) LOCAL LODGE 4,2017-09-30,336411,1000,PRIVATE
AKRON- CANTON FOOD INDUSTRY COMMITTEE (CLERKS),690,OH,UFCW -,2005-09-11,23731,3000,PRIVATE
ALABAMA POWER CO.,454,AL,IBEW VARIOUS LOCALS,2004-08-14,221122,1500,PRIVATE
ALABAMA POWER CO.,533,AL,IBEW VARIOUS LOCALS,2004-08-15,22111,1000,PRIVATE
ALABAMA POWER CO. (DISTRIBUTION),452,AL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904,2009-08-15,221122,1500,PRIVATE
ALABAMA POWER CO. (DISTRIBUTION),453,AL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904,2019-08-15,221122,1500,PRIVATE
ALABAMA POWER CO. (DISTRIBUTION),534,AL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904,2014-08-15,22111,1100,PRIVATE
ALABAMA POWER CO. (GENERATION),455,AL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904,2014-08-15,22111,1100,PRIVATE
ALABAMA POWER CO. (GENERATION),531,AL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904,2009-08-15,22111,1100,PRIVATE
ALABAMA POWER CO. (GENERATION),532,AL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904,2019-08-15,22111,1100,PRIVATE
ALABAMA POWER CO. (POWER)S,1772,AL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904,2019-08-15,221122,1500,PRIVATE
ALABAMA POWER CO. (POWER)S,1773,AL,ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1053/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2077/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 345/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 391/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 796/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 801/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 833/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 841/ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 904,2014-08-15,22111,1100,PRIVATE
"ALASKA AIRLINES, INC.",2077,ALASKA,IAM -,2018-12-31,48111,1000,PRIVATE
ALBERTSON'S INCORPORATED,662,CA,UFCW ,2004-09-11,445110,2000,PRIVATE
ALBERTSON'S INCORPORATED (GROCERY CLERKS),679,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-09-14,445110,2000,PRIVATE
ALBERTSON'S LLC,2011,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,NA,445110,2000,PRIVATE
ALBERTSON'S LLC (COLORADO SPRINGS - CLERK AGREEMENT),2009,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-09-14,445110,2000,PRIVATE
ALBERTSON'S LLC (COLORADO SPRINGS - MEAT AGREEMENT),2012,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-11-16,445110,2000,PRIVATE
ALBERTSON'S LLC (DENVER- MEAT AGREEMENT),2013,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-09-14,445110,2000,PRIVATE
ALBERTSON'S LLC (GRAND JUNCTION- CLERK AGREEMENT),2010,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-11-16,445110,2000,PRIVATE
ALBERTSON'S LLC (GRAND JUNCTION- MEAT AGREEMENT),2014,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,2013-11-25,445110,2000,PRIVATE
"ALBERTSON'S LLC (LAS VEGAS, NV)",666,NV LAS VEGAS,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 711,2008-02-29,445110,5000,PRIVATE
ALBERTSONS INC.,2212,CA,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 135,2016-03-06,NA,NA,PRIVATE
ALBERTSONS LLC,1846,CO,FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R,NA,445110,2000,PRIVATE
"ALCOA, INC",207,OH,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1050,2001-09-29,23731,2438,PRIVATE
"ALCOA, INC",208,OH,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1050,2006-09-29,23731,2438,PRIVATE
"ALCOA, INC",209,"TN, NC, AK, AL, TX",USW -,2006-05-31,23731,2438,PRIVATE
"ALCOA, INC",210,"IA, IN, PA, NY",USW -,2006-05-31,23731,2438,PRIVATE
"ALCOA, INC CLEVELAND WORKS",3664,OH,AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1050,2006-09-29,23731,2438,PRIVATE
ALLEGHENY COUNTY COMMUNITY COLLEGE,2048,PA,SEIU 668,2012-08-31,62211,1000,PRIVATE
ALLEGHENY ENERGY,481,PA,UWUA -,2006-05-01,NA,NA,PRIVATE
ALLEGHENY ENERGY,482,PA,UWUA 102,2011-05-01,221121,1100,PRIVATE
